chr	start	stop	CF	ApcMin_Adenom_MeDIP10.2.bam.counts	ApcMin_Adenom_MeDIP2.1.bam.counts	ApcMin_Adenom_MeDIP4.1.bam.counts	ApcMin_Adenom_MeDIP4.2.bam.counts	ApcMin_Adenom_MeDIP9.3.bam.counts	B6_MeDIP10.1.bam.counts	B6_MeDIP16.8.bam.counts	B6_MeDIP4.4.bam.counts	B6_MeDIP4.5.bam.counts	ApcMin_Normal_MeDIP4.3.bam.counts	ApcMin_Normal_MeDIP9.2.bam.counts	ApcMin_Normal_MeDIP9.4.bam.counts	ApcMin_Adenom_MeDIP10.2.bam.rpkm	ApcMin_Adenom_MeDIP2.1.bam.rpkm	ApcMin_Adenom_MeDIP4.1.bam.rpkm	ApcMin_Adenom_MeDIP4.2.bam.rpkm	ApcMin_Adenom_MeDIP9.3.bam.rpkm	B6_MeDIP10.1.bam.rpkm	B6_MeDIP16.8.bam.rpkm	B6_MeDIP4.4.bam.rpkm	B6_MeDIP4.5.bam.rpkm	ApcMin_Normal_MeDIP4.3.bam.rpkm	ApcMin_Normal_MeDIP9.2.bam.rpkm	ApcMin_Normal_MeDIP9.4.bam.rpkm	ApcMin_Adenom_MeDIP10.2.bam.rms	ApcMin_Adenom_MeDIP2.1.bam.rms	ApcMin_Adenom_MeDIP4.1.bam.rms	ApcMin_Adenom_MeDIP4.2.bam.rms	ApcMin_Adenom_MeDIP9.3.bam.rms	B6_MeDIP10.1.bam.rms	B6_MeDIP16.8.bam.rms	B6_MeDIP4.4.bam.rms	B6_MeDIP4.5.bam.rms	ApcMin_Normal_MeDIP4.3.bam.rms	ApcMin_Normal_MeDIP9.2.bam.rms	ApcMin_Normal_MeDIP9.4.bam.rms	ApcMin_Adenom_MeDIP10.2.bam.prob	ApcMin_Adenom_MeDIP2.1.bam.prob	ApcMin_Adenom_MeDIP4.1.bam.prob	ApcMin_Adenom_MeDIP4.2.bam.prob	ApcMin_Adenom_MeDIP9.3.bam.prob	B6_MeDIP10.1.bam.prob	B6_MeDIP16.8.bam.prob	B6_MeDIP4.4.bam.prob	B6_MeDIP4.5.bam.prob	ApcMin_Normal_MeDIP4.3.bam.prob	ApcMin_Normal_MeDIP9.2.bam.prob	ApcMin_Normal_MeDIP9.4.bam.prob	MSets1.counts.mean	MSets1.rpkm.mean	MSets1.rms.mean	MSets1.prob.mean	MSets2.counts.mean	MSets2.rpkm.mean	MSets2.rms.mean	MSets2.prob.mean	edgeR.logFC	edgeR.logCPM	edgeR.p.value	edgeR.adj.p.value
chr1	16231001	16231250	1	7	7	12	3	4	15	23	22	24	16	30	29	1.35859320390922	2.05286523900154	2.39673265420915	0.709958433117005	0.891930669783072	3.06028641832646	4.62418239303349	4.82383571243449	4.62514634252099	3.64283318391077	4.73949222976047	5.37706855479648	0.967046622043726	2.03856164189447	1.54842568576381	0.501573713011067	0.647793998244097	2.4307012970072	2.44220293401385	3.25721489291694	2.79702752152282	2.57912885065399	2.31110294918612	3.40994085104851	0.999890905595571	0.999989227751099	0.99999998876878	0.944515623035888	0.986640047948353	0.999999999999416	1	1	1	0.999999999999737	1	1	6.6	1.482016040004	1.14068033219143	0.986207158619938	22.7142857142857	4.41326354782616	2.74675989947849	0.999999999999879	-1.55850613022622	-0.125818671932373	3.52193716816442e-09	0.0250960810165193
chr1	57033001	57033250	8	33	30	42	36	32	24	17	16	24	13	13	23	6.40479653271488	8.79799388143516	8.38856428973202	8.51950119740406	7.13544535826458	4.89645826932234	3.41787394267693	3.50824415449781	4.62514634252099	2.9598019619275	2.05377996622954	4.26457161242479	0.402107615032229	0.845235406094441	0.564103184136645	0.690378282518275	0.552756626820661	0.310081568197327	0.292822840618237	0.263102033451267	0.290728667249215	0.233665809067887	0.114465433239002	0.268439649451169	0.999944777987848	0.999999812913625	0.999999997774046	0.999999988802365	0.999997922880352	0.980536039953025	0.948753554507352	0.810565516120616	0.978965385523795	0.609621933875047	0.145556862247993	0.965700268447164	34.6	7.84926025191014	0.61091622292045	0.999988500071647	18.5714285714286	3.67512517851427	0.253329428753443	0.777099937239285	1.09797541807054	0.524131120028122	2.97394999368245e-09	0.0211913178506334
chr1	71727001	71727250	4	5	4	8	5	3	11	20	18	16	20	24	19	0.970423717078011	1.17306585085802	1.59782176947277	1.18326405519501	0.668948002337304	2.24421004010607	4.02102816785521	3.94677467381004	3.083430895014	4.55354147988846	3.79159378380838	3.522906984177	0.160475924243135	0.285869776629514	0.278362265856157	0.242667009949489	0.132754936405275	0.376900045653876	0.691137358247564	0.734759572077857	0.509027635626915	0.895566011374853	0.49298174158454	0.573179354701376	0.438134605913493	0.60862590730182	0.87288223522568	0.637693088909792	0.259598268826593	0.980916183354531	0.999999095781243	0.999996134786274	0.999804961810864	0.99999989351725	0.99999941308928	0.999992687368511	5	1.11870467898822	0.220025982616714	0.563386821235475	18.2857142857143	3.59478371780845	0.610507388466712	0.997244052815422	-1.64160479426196	-0.406150028682726	1.0712709101584e-08	0.076334983471575
chr1	138844501	138844750	6	13	4	5	7	8	0	0	1	0	0	0	3	2.52310166440283	1.17306585085802	0.998638605920479	1.65656967727301	1.78386133956614	0	0	0.219265259656113	0	0	0	0.556248471185843	0.216050302581625	0.152200675472793	0.0922077973162367	0.182793741712747	0.188872957134691	0	0	0.0220690723800129	0	0	0	0.0479231023329247	0.714993300216673	0.117657308720036	0.041504337583347	0.316627329766071	0.398655259227219	8.78290774841695e-06	6.66250591988549e-05	0.000529592393944012	9.7463021028199e-06	8.02822599441644e-05	9.38933927052688e-07	0.00309984148067166	7.4	1.6270474276041	0.166425094843619	0.317887507102669	0.571428571428571	0.110787675834565	0.00999888210184823	0.000542258476790997	3.61856709647128	-1.82335585254768	6.59440856389946e-11	0.000469894276001245
chr2	14586251	14586500	6	19	4	11	8	14	33	42	26	22	27	40	35	3.68761012489644	1.17306585085802	2.19700493302505	1.89322248831201	3.12175734424075	6.73263012031822	8.44415915249593	5.70089675105894	4.23971748064424	6.14728099784942	6.31932297301396	6.48956549716816	0.315765826850068	0.152200675472793	0.202857154095721	0.208907133385996	0.33052767498571	0.578270364277714	0.87809710459938	0.573795881880335	0.367437052202147	0.65188821266635	0.45533116230716	0.559102860550788	0.983442945848307	0.117657308720036	0.599515670257145	0.447445931529561	0.942290503314268	0.999999921991601	0.999999999999997	0.999994267767992	0.998102790323256	0.999999251068236	0.999999997141362	0.999999992416734	11.2	2.41453214826646	0.242051692958058	0.618070471933863	32.1428571428571	6.29622471036413	0.580560376926268	0.999728031529883	-1.31238948425653	0.370301682062874	9.49926322422046e-09	0.0676883964958769
chr2	21158751	21159000	6	10	6	10	6	4	25	22	28	25	23	24	22	1.94084743415602	1.75959877628703	1.99727721184096	1.41991686623401	0.891930669783072	5.10047736387744	4.42313098464073	6.13942727037117	4.81786077345937	5.23657270187173	3.79159378380838	4.07915545536284	0.166192540447404	0.228301013209189	0.184415594632473	0.156680350039497	0.0944364785673457	0.438083609301299	0.459955626218723	0.61793402664036	0.417542104775167	0.555312181160224	0.273198697384296	0.351436083774781	0.38183277525797	0.350404939386346	0.480295387930296	0.201146178420394	0.0416883729010719	0.99980381980449	0.999827828863435	0.999999326315916	0.999828702364446	0.999949845734597	0.995481193412036	0.997960054308968	7.2	1.60191419166022	0.166005195379182	0.291073530779215	24.1428571428571	4.79831690477024	0.444780332750693	0.998978681543412	-1.52553725578089	-0.0298541797190039	2.58499424664994e-10	0.00184197564986584
chr2	21159001	21159250	5	11	6	11	8	3	25	28	29	23	24	28	28	2.13493217757163	1.75959877628703	2.19700493302505	1.89322248831201	0.668948002337304	5.10047736387744	5.62943943499729	6.35869253002728	4.43243191158262	5.46424977586615	4.42352608110977	5.19165239773453	0.24366753054826	0.30051558823387	0.268279797481605	0.274701533542506	0.0934485254838352	0.586131692283328	0.724658077657112	0.838606942769415	0.510208090090639	0.76070315717242	0.411109754174336	0.591124395009679	0.825501475161671	0.629536688969601	0.873933693153975	0.743069075558033	0.0738696775384491	0.999998374827869	0.9999999957554	0.999999999371846	0.999985908960421	0.999999827869675	0.999996896342505	0.999999943435883	7.8	1.73074127550661	0.236122595058015	0.629182122076346	26.4285714285714	5.22863849931358	0.631791729879561	0.999997278080514	-1.53994881639956	0.0812657842497122	1.43027861860328e-11	0.000101916605478146
chr2	32358751	32359000	6	5	1	1	1	4	13	14	7	14	9	17	17	0.970423717078011	0.293266462714505	0.199727721184096	0.236652811039002	0.891930669783072	2.65224822921627	2.81471971749865	1.53485681759279	2.69800203313725	2.04909366594981	2.68571226353093	3.15207467005311	0.0830962702237021	0.0380501688681982	0.0184415594632473	0.0261133916732495	0.0944364785673457	0.227803476836675	0.29269903486646	0.15448350666009	0.233823578674093	0.217296070888783	0.193515743980543	0.27156424655324	0.0248465302006857	0.00391400556573074	0.00023412839094783	0.00116656561275508	0.0416883729010719	0.71862779035083	0.93499768275629	0.226095405899923	0.81207106049742	0.530947210532031	0.835746458893803	0.950882349987565	2.4	0.518400276359737	0.0520275737591486	0.0143699205342382	13	2.51238677099697	0.227312236922841	0.715623994131123	-2.1773344099407	-0.8902050817088	6.13799788441172e-09	0.0437372062110647
chr2	75595501	75595750	6	12	6	9	7	6	28	27	25	24	23	31	36	2.32901692098723	1.75959877628703	1.79754949065686	1.65656967727301	1.33789600467461	5.71253464754273	5.42838802660453	5.48163149140283	4.62514634252099	5.23657270187173	4.89747530408582	6.67498165423011	0.199431048536885	0.228301013209189	0.165974035169226	0.182793741712747	0.141654717851019	0.490653642417454	0.564490995813887	0.551726809500322	0.40084042058416	0.555312181160224	0.352881650788049	0.575077227995097	0.612703126709803	0.350404939386346	0.359207103139717	0.316627329766071	0.169213177509808	0.999986791109992	0.99999891470208	0.999984121247299	0.999603774413205	0.999949845734597	0.999978203494806	0.999999997648206	8	1.77612617397575	0.183630911295813	0.361631135302349	27.7142857142857	5.43667573832268	0.498711846894171	0.999928806907169	-1.5716952867014	0.133614902478664	3.98705978761582e-12	2.84103806144453e-05
chr2	75595751	75596000	2	13	6	10	9	4	23	24	20	22	27	31	32	2.52310166440283	1.75959877628703	1.99727721184096	2.12987529935102	0.891930669783072	4.69243917476724	4.82523380142625	4.38530519312226	4.23971748064424	6.14728099784942	4.89747530408582	5.93331702598232	1.07813837120519	1.06619810446026	0.827736737095998	0.999757962431849	0.41635630797441	2.14021297136223	1.73058482946517	1.91569506587648	1.66748289417306	2.82012270795119	1.50419621898647	2.34898025527467	0.999999806953419	0.998410445268847	0.999954870424431	0.99992216589119	0.933603498690502	1	0.999999999999999	0.999999999999921	0.999999999999993	1	1	1	8.4	1.86035672433298	0.877637496633542	0.986378157445678	25.5714285714286	5.01725271112537	2.01818213472704	0.999999999999988	-1.38737389868597	0.0605285524357812	1.16668069727977e-09	0.00831335481052948
